title,ISBN number,year of publication,genre,page count,publisher,author
The Silent Observer,978-0-123456-47-2,2018,Mystery,328,HarperCollins,Emily Stone
Beyond the Horizon,978-1-984578-32-5,2021,Adventure,412,Penguin Books,Marcus Reid
Fundamentals of AI,978-0-262134-58-3,2023,Educational,290,MIT Press,Dr. A. Raman
Code Breakers,978-1-439239-41-6,2020,Tech Fiction,365,Oâ€™Reilly Media,Lara Quinn
The Great Divide,978-0-394284-92-1,2017,Drama,276,Random House,Daniel West
Quantum Realities,978-1-732456-89-0,2022,Science,510,Springer,Dr. Fiona Li
Legends of the Valley,978-1-870126-23-7,2015,Historical Fiction,452,Vintage Books,Samuel Brooks
Journey to Zenith,978-1-338264-09-2,2019,Sci-Fi,398,Tor Books,Helen Ruiz
The Art of Minimalism,978-0-470998-31-5,2021,Lifestyle,220,Wiley,Kenji Aoki
Financial Freedom 101,978-0-133569-32-4,2020,Business,340,Pearson,Rachel Moore
